Nama Kain,Karakteristik,Tekstur,Ketebalan,Harga Range (per meter),Tips Perawatan
Katun,"Adem, menyerap keringat",Lembut,Sedang,Rp25.000–Rp60.000,Cuci air dingin agar tidak menyusut
Linen,"Ringan, breathable",Sedikit kasar alami,Tipis–Sedang,Rp80.000–Rp250.000,Setrika suhu sedang karena mudah kusut
Oxford,"Tebal, rapi",Halus dan rapi,Sedang,Rp45.000–Rp90.000,Hindari pemutih
Flannel,"Hangat, lembut",Lembut berbulu,Sedang–Tebal,Rp50.000–Rp120.000,Cuci lembut agar bulu tidak rusak
Denim,"Tebal, kuat",Kasar dan kuat,Tebal,Rp60.000–Rp150.000,Balik pakaian saat mencuci
Rayon,"Jatuh, lembut",Halus dan jatuh,Tipis,Rp35.000–Rp90.000,Jangan diperas terlalu kuat
Satin,"Mengkilap, halus, elegan",Licin dan mengkilap,Tipis,Rp40.000–Rp150.000,Cuci manual agar tidak mudah rusak
Silk/Sutra,"Lembut, mewah",Sangat halus,Tipis,Rp150.000–Rp500.000,Dry clean lebih disarankan
Polyester,Tidak mudah kusut,Halus sintetis,Tipis–Sedang,Rp20.000–Rp50.000,Hindari suhu setrika terlalu panas
Twill,"Kuat, diagonal texture",Sedikit diagonal,Sedang,Rp40.000–Rp100.000,Cuci normal dan setrika sedang
Jersey,"Stretch, nyaman",Stretch dan lembut,Tipis–Sedang,Rp35.000–Rp90.000,Hindari pengering suhu tinggi
Spandex,Sangat elastis dan fleksibel,Sangat elastis,Tipis,Rp40.000–Rp120.000,Jangan setrika panas
Voal,Ringan dan adem,Ringan dan adem,Tipis,Rp30.000–Rp85.000,Setrika suhu rendah
Baby Terry,Lembut bagian dalam,Lembut bagian dalam,Sedang,Rp55.000–Rp120.000,Hindari pengering panas
Fleece,Hangat,Tebal dan lembut,Tebal,Rp60.000–Rp150.000,Jangan dicuci air panas
Kanvas,Tebal dan kokoh,Kasar dan kokoh,Tebal,Rp45.000–Rp130.000,Sikat lembut saat membersihkan
Wol,Hangat,Halus dan hangat,Tebal,Rp120.000–Rp400.000,Gunakan mode wool/dry clean
Crinkle,Tekstur kerut alami,Tekstur kerut alami,Tipis–Sedang,Rp35.000–Rp90.000,Tidak perlu setrika berlebihan
Chambray,Mirip denim tapi lebih ringan,Halus ringan,Tipis,Rp50.000–Rp110.000,Cuci dengan warna serupa
Poplin,Halus dan ringan,Halus dan ringan,Tipis,Rp40.000–Rp90.000,Setrika suhu rendah
CVC,Campuran katun-polyester,Lembut dan cukup adem,Sedang,Rp30.000–Rp75.000,Cuci normal
TC (Tetoron Cotton),Awet dan ekonomis,Halus dan awet,Sedang,Rp25.000–Rp60.000,Mudah dirawat dan cepat kering
Drill,Tebal dan tahan lama,Kokoh dan kuat,Tebal,Rp45.000–Rp130.000,Jangan gunakan bleach berlebihan
Baby Canvas,Tebal dan kokoh,Kokoh,Tebal,Rp60.000–Rp140.000,Hindari pencucian terlalu sering
Corduroy,Tekstur garis unik,Bergaris lembut,Tebal,Rp70.000–Rp180.000,Cuci terbalik agar tekstur awet
Kulit Sintetis,"Stylish, glossy, edgy",Halus mengilap,Sedang,Rp80.000–Rp250.000,Lap dengan kain lembab
Leather,Kuat dan mewah,Halus premium,Tebal,Rp200.000–Rp800.000,Gunakan pelembab kulit khusus
Suede,Lembut seperti beludru,Lembut seperti beludru,Sedang,Rp150.000–Rp400.000,Hindari air berlebihan
Chiffon,Ringan dan flowy,Sangat ringan,Sangat tipis,Rp35.000–Rp100.000,Cuci tangan agar tidak sobek
Organza,Tipis dan agak kaku,Agak kaku dan tipis,Tipis,Rp40.000–Rp120.000,Simpan dengan hati-hati
Tulle,"Transparan, tipis, ringan",Ringan transparan,Sangat tipis,Rp25.000–Rp80.000,Jangan dicuci kasar
Velvet,Halus dan mewah,Sangat lembut,Sedang–Tebal,Rp80.000–Rp250.000,Hindari setrika langsung
Knit,Stretch dan nyaman,Stretch dan nyaman,Sedang,Rp45.000–Rp120.000,Simpan dilipat agar tidak melar
Lycra,"Sangat elastis, fleksibel mengikuti bentuk tubuh, nyaman dipakai bergerak, ringan, tidak mudah melar",Sangat elastis,Tipis,Rp50.000–Rp130.000,Hindari panas tinggi saat mencuci
